bed1,bed2,jaccA,jaccB
BRCA1_hg38_c3.bed,ATF2_hg38_c3.bed,0.088735,0.119744
CTCF_hg38_c3.bed,ATF2_hg38_c3.bed,0.084653,0.115033
BRCA1_hg38_c3.bed,ATF3_hg38_c3.bed,0.113143,0.140460
CTCF_hg38_c3.bed,ATF3_hg38_c3.bed,0.143493,0.189661
BRCA1_hg38_c3.bed,ATF4_hg38_c3.bed,0.055197,0.074777
CTCF_hg38_c3.bed,ATF4_hg38_c3.bed,0.034034,0.046279
BRCA1_hg38_c3.bed,ATF7_hg38_c3.bed,0.098093,0.128683
CTCF_hg38_c3.bed,ATF7_hg38_c3.bed,0.089802,0.125235
BRCA1_hg38_c3.bed,ATM_hg38_c3.bed,0.001959,0.002328
CTCF_hg38_c3.bed,ATM_hg38_c3.bed,0.001803,0.002355
BRCA1_hg38_c3.bed,ATOH8_hg38_c3.bed,0.036130,0.044588
CTCF_hg38_c3.bed,ATOH8_hg38_c3.bed,0.006282,0.008759
BRCA1_hg38_c3.bed,ATRX_hg38_c3.bed,0.156232,0.197143
CTCF_hg38_c3.bed,ATRX_hg38_c3.bed,0.057520,0.079668
BRCA1_hg38_c3.bed,ATXN7L3_hg38_c3.bed,0.178968,0.226979
CTCF_hg38_c3.bed,ATXN7L3_hg38_c3.bed,0.030316,0.044098
BRCA1_hg38_c3.bed,BACH1_hg38_c3.bed,0.148866,0.182432
CTCF_hg38_c3.bed,BACH1_hg38_c3.bed,0.058787,0.080757
BRCA1_hg38_c3.bed,BACH2_hg38_c3.bed,0.037960,0.048300
CTCF_hg38_c3.bed,BACH2_hg38_c3.bed,0.018956,0.026226
BRCA1_hg38_c3.bed,BAF155_hg38_c3.bed,0.120250,0.152960
CTCF_hg38_c3.bed,BAF155_hg38_c3.bed,0.068318,0.093532
BRCA1_hg38_c3.bed,BAHD1_hg38_c3.bed,0.002419,0.002094
CTCF_hg38_c3.bed,BAHD1_hg38_c3.bed,0.000948,0.000920
BRCA1_hg38_c3.bed,BAP1_hg38_c3.bed,0.106772,0.141403
CTCF_hg38_c3.bed,BAP1_hg38_c3.bed,0.024269,0.034629
BRCA1_hg38_c3.bed,BATF3_hg38_c3.bed,0.016384,0.020546
CTCF_hg38_c3.bed,BATF3_hg38_c3.bed,0.010849,0.014720
BRCA1_hg38_c3.bed,BATF_hg38_c3.bed,0.074890,0.094223
CTCF_hg38_c3.bed,BATF_hg38_c3.bed,0.033061,0.046195
BRCA1_hg38_c3.bed,BCL11A_hg38_c3.bed,0.113906,0.140956
CTCF_hg38_c3.bed,BCL11A_hg38_c3.bed,0.136167,0.178064
BRCA1_hg38_c3.bed,BCL11B_hg38_c3.bed,0.177480,0.218059
CTCF_hg38_c3.bed,BCL11B_hg38_c3.bed,0.059548,0.079769
BRCA1_hg38_c3.bed,BCL3_hg38_c3.bed,0.145420,0.184336
CTCF_hg38_c3.bed,BCL3_hg38_c3.bed,0.061393,0.083635
BRCA1_hg38_c3.bed,BCL6B_hg38_c3.bed,0.018272,0.023128
CTCF_hg38_c3.bed,BCL6B_hg38_c3.bed,0.005720,0.008097
BRCA1_hg38_c3.bed,BCL6_hg38_c3.bed,0.112904,0.142965
CTCF_hg38_c3.bed,BCL6_hg38_c3.bed,0.120971,0.157092
BRCA1_hg38_c3.bed,BCLAF1_hg38_c3.bed,0.049053,0.062941
CTCF_hg38_c3.bed,BCLAF1_hg38_c3.bed,0.012965,0.017732
BRCA1_hg38_c3.bed,BCOR_hg38_c3.bed,0.104092,0.132323
CTCF_hg38_c3.bed,BCOR_hg38_c3.bed,0.132117,0.172515
BRCA1_hg38_c3.bed,BDP1_hg38_c3.bed,0.005378,0.006285
CTCF_hg38_c3.bed,BDP1_hg38_c3.bed,0.000604,0.000859
BRCA1_hg38_c3.bed,BHLHE22_hg38_c3.bed,0.028119,0.035064
CTCF_hg38_c3.bed,BHLHE22_hg38_c3.bed,0.016140,0.021173
BRCA1_hg38_c3.bed,BHLHE40_hg38_c3.bed,0.146425,0.175760
CTCF_hg38_c3.bed,BHLHE40_hg38_c3.bed,0.123653,0.166329
BRCA1_hg38_c3.bed,BICRA_hg38_c3.bed,0.118222,0.144015
CTCF_hg38_c3.bed,BICRA_hg38_c3.bed,0.024316,0.034475
BRCA1_hg38_c3.bed,BMI1_hg38_c3.bed,0.059922,0.078339
CTCF_hg38_c3.bed,BMI1_hg38_c3.bed,0.026591,0.037069
BRCA1_hg38_c3.bed,BMPR1A_hg38_c3.bed,0.134058,0.175520
CTCF_hg38_c3.bed,BMPR1A_hg38_c3.bed,0.033854,0.047309
BRCA1_hg38_c3.bed,BNC2_hg38_c3.bed,0.027388,0.033579
CTCF_hg38_c3.bed,BNC2_hg38_c3.bed,0.011270,0.015448
BRCA1_hg38_c3.bed,BPTF_hg38_c3.bed,0.000872,0.001186
CTCF_hg38_c3.bed,BPTF_hg38_c3.bed,0.000245,0.000359
BRCA1_hg38_c3.bed,-,1.000000,1.000000
CTCF_hg38_c3.bed,BRCA1_hg38_c3.bed,0.051347,0.071409
BRCA1_hg38_c3.bed,BRD1_hg38_c3.bed,0.113615,0.150306
CTCF_hg38_c3.bed,BRD1_hg38_c3.bed,0.083496,0.107296
BRCA1_hg38_c3.bed,BRD2_hg38_c3.bed,0.094992,0.121367
CTCF_hg38_c3.bed,BRD2_hg38_c3.bed,0.192952,0.249437
BRCA1_hg38_c3.bed,BRD3_hg38_c3.bed,0.105099,0.137315
CTCF_hg38_c3.bed,BRD3_hg38_c3.bed,0.137581,0.177904
BRCA1_hg38_c3.bed,BRD4_hg38_c3.bed,0.032622,0.046184
CTCF_hg38_c3.bed,BRD4_hg38_c3.bed,0.245208,0.304627
BRCA1_hg38_c3.bed,BRD7_hg38_c3.bed,0.068915,0.086687
CTCF_hg38_c3.bed,BRD7_hg38_c3.bed,0.022234,0.029889
BRCA1_hg38_c3.bed,BRD9_hg38_c3.bed,0.166708,0.199202
CTCF_hg38_c3.bed,BRD9_hg38_c3.bed,0.116521,0.157908
BRCA1_hg38_c3.bed,BRF1_hg38_c3.bed,0.039390,0.055035
CTCF_hg38_c3.bed,BRF1_hg38_c3.bed,0.020807,0.026763
BRCA1_hg38_c3.bed,BRF2_hg38_c3.bed,0.006039,0.007763
CTCF_hg38_c3.bed,BRF2_hg38_c3.bed,0.002632,0.003331
BRCA1_hg38_c3.bed,C17orf49_hg38_c3.bed,0.000715,0.000881
CTCF_hg38_c3.bed,C17orf49_hg38_c3.bed,0.000131,0.000170
BRCA1_hg38_c3.bed,CARM1_hg38_c3.bed,0.043368,0.056510
CTCF_hg38_c3.bed,CARM1_hg38_c3.bed,0.007351,0.010646
BRCA1_hg38_c3.bed,CASZ1_hg38_c3.bed,0.033507,0.042185
CTCF_hg38_c3.bed,CASZ1_hg38_c3.bed,0.023356,0.031502
BRCA1_hg38_c3.bed,CBFA2T2_hg38_c3.bed,0.055548,0.073386
CTCF_hg38_c3.bed,CBFA2T2_hg38_c3.bed,0.049106,0.064669
BRCA1_hg38_c3.bed,CBFA2T3_hg38_c3.bed,0.070181,0.088302
CTCF_hg38_c3.bed,CBFA2T3_hg38_c3.bed,0.055422,0.074985
BRCA1_hg38_c3.bed,CBFB_hg38_c3.bed,0.143904,0.173944
CTCF_hg38_c3.bed,CBFB_hg38_c3.bed,0.119848,0.158621
BRCA1_hg38_c3.bed,CBX1_hg38_c3.bed,0.146330,0.184840
CTCF_hg38_c3.bed,CBX1_hg38_c3.bed,0.089228,0.120223
BRCA1_hg38_c3.bed,CBX2_hg38_c3.bed,0.052986,0.073982
CTCF_hg38_c3.bed,CBX2_hg38_c3.bed,0.030341,0.040347
BRCA1_hg38_c3.bed,CBX3_hg38_c3.bed,0.088513,0.111856
CTCF_hg38_c3.bed,CBX3_hg38_c3.bed,0.028309,0.039896
BRCA1_hg38_c3.bed,CBX4_hg38_c3.bed,0.100912,0.126182
CTCF_hg38_c3.bed,CBX4_hg38_c3.bed,0.029367,0.038638
BRCA1_hg38_c3.bed,CBX5_hg38_c3.bed,0.036576,0.047824
CTCF_hg38_c3.bed,CBX5_hg38_c3.bed,0.014095,0.019270
BRCA1_hg38_c3.bed,CBX7_hg38_c3.bed,0.040010,0.049699
CTCF_hg38_c3.bed,CBX7_hg38_c3.bed,0.008955,0.011735
BRCA1_hg38_c3.bed,CBX8_hg38_c3.bed,0.010219,0.013788
CTCF_hg38_c3.bed,CBX8_hg38_c3.bed,0.016923,0.020722
BRCA1_hg38_c3.bed,CC2D1A_hg38_c3.bed,0.063973,0.081616
CTCF_hg38_c3.bed,CC2D1A_hg38_c3.bed,0.024095,0.034796
BRCA1_hg38_c3.bed,CCAR2_hg38_c3.bed,0.099415,0.126282
CTCF_hg38_c3.bed,CCAR2_hg38_c3.bed,0.036364,0.050341
BRCA1_hg38_c3.bed,CCNT2_hg38_c3.bed,0.140164,0.171259
CTCF_hg38_c3.bed,CCNT2_hg38_c3.bed,0.028247,0.039771
BRCA1_hg38_c3.bed,CD74_hg38_c3.bed,0.065494,0.082665
CTCF_hg38_c3.bed,CD74_hg38_c3.bed,0.014193,0.020309
BRCA1_hg38_c3.bed,CDC5L_hg38_c3.bed,0.013503,0.016955
CTCF_hg38_c3.bed,CDC5L_hg38_c3.bed,0.004778,0.006545
BRCA1_hg38_c3.bed,CDK2_hg38_c3.bed,0.002188,0.002603
CTCF_hg38_c3.bed,CDK2_hg38_c3.bed,0.001079,0.001271
BRCA1_hg38_c3.bed,CDK6_hg38_c3.bed,0.154012,0.203986
CTCF_hg38_c3.bed,CDK6_hg38_c3.bed,0.055849,0.075063
BRCA1_hg38_c3.bed,CDK7_hg38_c3.bed,0.156192,0.193095
CTCF_hg38_c3.bed,CDK7_hg38_c3.bed,0.054680,0.076493
BRCA1_hg38_c3.bed,CDK8_hg38_c3.bed,0.126551,0.157633
CTCF_hg38_c3.bed,CDK8_hg38_c3.bed,0.127121,0.166774
BRCA1_hg38_c3.bed,CDK9-HEXIM1_hg38_c3.bed,0.000843,0.000987
CTCF_hg38_c3.bed,CDK9-HEXIM1_hg38_c3.bed,0.000850,0.001022
BRCA1_hg38_c3.bed,CDK9_hg38_c3.bed,0.116400,0.146386
CTCF_hg38_c3.bed,CDK9_hg38_c3.bed,0.129983,0.170053
BRCA1_hg38_c3.bed,CDKN1B_hg38_c3.bed,0.160963,0.201434
CTCF_hg38_c3.bed,CDKN1B_hg38_c3.bed,0.107122,0.142763
BRCA1_hg38_c3.bed,CDX2_hg38_c3.bed,0.095000,0.129567
CTCF_hg38_c3.bed,CDX2_hg38_c3.bed,0.072610,0.098550
BRCA1_hg38_c3.bed,CEBPA_hg38_c3.bed,0.075504,0.104372
CTCF_hg38_c3.bed,CEBPA_hg38_c3.bed,0.127466,0.167376
BRCA1_hg38_c3.bed,CEBPB_hg38_c3.bed,0.077816,0.103025
CTCF_hg38_c3.bed,CEBPB_hg38_c3.bed,0.137137,0.179550
BRCA1_hg38_c3.bed,CEBPD_hg38_c3.bed,0.136905,0.168770
CTCF_hg38_c3.bed,CEBPD_hg38_c3.bed,0.068043,0.091740
BRCA1_hg38_c3.bed,CEBPG_hg38_c3.bed,0.043966,0.059096
CTCF_hg38_c3.bed,CEBPG_hg38_c3.bed,0.028026,0.037920
BRCA1_hg38_c3.bed,CEBPZ_hg38_c3.bed,0.034855,0.045370
CTCF_hg38_c3.bed,CEBPZ_hg38_c3.bed,0.003941,0.005992
BRCA1_hg38_c3.bed,CERS6_hg38_c3.bed,0.027306,0.034876
CTCF_hg38_c3.bed,CERS6_hg38_c3.bed,0.003420,0.005010
BRCA1_hg38_c3.bed,CHAF1B_hg38_c3.bed,0.021775,0.026092
CTCF_hg38_c3.bed,CHAF1B_hg38_c3.bed,0.003692,0.005106
BRCA1_hg38_c3.bed,CHAMP1_hg38_c3.bed,0.023378,0.031118
CTCF_hg38_c3.bed,CHAMP1_hg38_c3.bed,0.009596,0.013715
BRCA1_hg38_c3.bed,CHD1_hg38_c3.bed,0.149863,0.189990
CTCF_hg38_c3.bed,CHD1_hg38_c3.bed,0.113797,0.145716
BRCA1_hg38_c3.bed,CHD2_hg38_c3.bed,0.196634,0.234644
CTCF_hg38_c3.bed,CHD2_hg38_c3.bed,0.105435,0.141868
BRCA1_hg38_c3.bed,CHD4_hg38_c3.bed,0.096493,0.127415
CTCF_hg38_c3.bed,CHD4_hg38_c3.bed,0.104816,0.138840
BRCA1_hg38_c3.bed,CHD7_hg38_c3.bed,0.074898,0.093451
CTCF_hg38_c3.bed,CHD7_hg38_c3.bed,0.067385,0.089470
BRCA1_hg38_c3.bed,CHD8_hg38_c3.bed,0.104117,0.138825
CTCF_hg38_c3.bed,CHD8_hg38_c3.bed,0.053619,0.070888
BRCA1_hg38_c3.bed,CIITA_hg38_c3.bed,0.007117,0.009325
CTCF_hg38_c3.bed,CIITA_hg38_c3.bed,0.001466,0.002070
BRCA1_hg38_c3.bed,CLOCK_hg38_c3.bed,0.099119,0.133225
CTCF_hg38_c3.bed,CLOCK_hg38_c3.bed,0.052637,0.069066
BRCA1_hg38_c3.bed,COBLL1_hg38_c3.bed,0.006078,0.007508
CTCF_hg38_c3.bed,COBLL1_hg38_c3.bed,0.001300,0.001722
BRCA1_hg38_c3.bed,CREB1_hg38_c3.bed,0.097392,0.124614
CTCF_hg38_c3.bed,CREB1_hg38_c3.bed,0.163229,0.214866
BRCA1_hg38_c3.bed,CREB3L1_hg38_c3.bed,0.125529,0.165577
CTCF_hg38_c3.bed,CREB3L1_hg38_c3.bed,0.019582,0.029866
BRCA1_hg38_c3.bed,CREB3_hg38_c3.bed,0.124595,0.162174
CTCF_hg38_c3.bed,CREB3_hg38_c3.bed,0.027289,0.040506
BRCA1_hg38_c3.bed,CREB5_hg38_c3.bed,0.059200,0.076648
CTCF_hg38_c3.bed,CREB5_hg38_c3.bed,0.038673,0.053059
BRCA1_hg38_c3.bed,CREBBP_hg38_c3.bed,0.099669,0.127704
CTCF_hg38_c3.bed,CREBBP_hg38_c3.bed,0.158620,0.204106
BRCA1_hg38_c3.bed,CREM_hg38_c3.bed,0.144024,0.171700
CTCF_hg38_c3.bed,CREM_hg38_c3.bed,0.100580,0.137061
BRCA1_hg38_c3.bed,CRX_hg38_c3.bed,0.097683,0.134510
CTCF_hg38_c3.bed,CRX_hg38_c3.bed,0.038939,0.048712
BRCA1_hg38_c3.bed,CRY1_hg38_c3.bed,0.024452,0.032622
CTCF_hg38_c3.bed,CRY1_hg38_c3.bed,0.029659,0.037133
BRCA1_hg38_c3.bed,CRY2_hg38_c3.bed,0.021785,0.027328
CTCF_hg38_c3.bed,CRY2_hg38_c3.bed,0.011128,0.015368
BRCA1_hg38_c3.bed,CSDC2_hg38_c3.bed,0.043157,0.053880
CTCF_hg38_c3.bed,CSDC2_hg38_c3.bed,0.011138,0.015674
BRCA1_hg38_c3.bed,CSNK2A1_hg38_c3.bed,0.106892,0.138938
CTCF_hg38_c3.bed,CSNK2A1_hg38_c3.bed,0.019415,0.027482
BRCA1_hg38_c3.bed,CTBP1_hg38_c3.bed,0.137654,0.168266
CTCF_hg38_c3.bed,CTBP1_hg38_c3.bed,0.101215,0.140113
BRCA1_hg38_c3.bed,CTBP2_hg38_c3.bed,0.114740,0.143009
CTCF_hg38_c3.bed,CTBP2_hg38_c3.bed,0.051337,0.070323
BRCA1_hg38_c3.bed,CTCFL_hg38_c3.bed,0.165925,0.203133
CTCF_hg38_c3.bed,CTCFL_hg38_c3.bed,0.135518,0.168273
BRCA1_hg38_c3.bed,CTCF_hg38_c3.bed,0.051347,0.071409
CTCF_hg38_c3.bed,-,1.000000,1.000000
BRCA1_hg38_c3.bed,CTNNB1_hg38_c3.bed,0.145782,0.185752
CTCF_hg38_c3.bed,CTNNB1_hg38_c3.bed,0.045014,0.063256
BRCA1_hg38_c3.bed,CUX1_hg38_c3.bed,0.146610,0.182204
CTCF_hg38_c3.bed,CUX1_hg38_c3.bed,0.050516,0.070523
BRCA1_hg38_c3.bed,CXXC4_hg38_c3.bed,0.181491,0.229887
CTCF_hg38_c3.bed,CXXC4_hg38_c3.bed,0.026397,0.038472
BRCA1_hg38_c3.bed,CXXC5_hg38_c3.bed,0.128585,0.163624
CTCF_hg38_c3.bed,CXXC5_hg38_c3.bed,0.014920,0.022232
BRCA1_hg38_c3.bed,DACH1_hg38_c3.bed,0.034261,0.045127
CTCF_hg38_c3.bed,DACH1_hg38_c3.bed,0.010498,0.015013
BRCA1_hg38_c3.bed,DAXX_hg38_c3.bed,0.139880,0.170674
CTCF_hg38_c3.bed,DAXX_hg38_c3.bed,0.062447,0.085670
BRCA1_hg38_c3.bed,DDX20_hg38_c3.bed,0.054102,0.069515
CTCF_hg38_c3.bed,DDX20_hg38_c3.bed,0.013395,0.019555
BRCA1_hg38_c3.bed,DDX21_hg38_c3.bed,0.110314,0.147048
CTCF_hg38_c3.bed,DDX21_hg38_c3.bed,0.011810,0.018427
BRCA1_hg38_c3.bed,DDX5_hg38_c3.bed,0.081669,0.107717
CTCF_hg38_c3.bed,DDX5_hg38_c3.bed,0.032231,0.042601
BRCA1_hg38_c3.bed,DEAF1_hg38_c3.bed,0.032425,0.041114
CTCF_hg38_c3.bed,DEAF1_hg38_c3.bed,0.004672,0.006561
BRCA1_hg38_c3.bed,DEK_hg38_c3.bed,0.200122,0.246799
CTCF_hg38_c3.bed,DEK_hg38_c3.bed,0.065790,0.091279
BRCA1_hg38_c3.bed,DIDO1_hg38_c3.bed,0.084118,0.115316
CTCF_hg38_c3.bed,DIDO1_hg38_c3.bed,0.014734,0.022568
BRCA1_hg38_c3.bed,DLX4_hg38_c3.bed,0.000908,0.001118
CTCF_hg38_c3.bed,DLX4_hg38_c3.bed,0.000162,0.000218
BRCA1_hg38_c3.bed,DLX6_hg38_c3.bed,0.119714,0.149248
CTCF_hg38_c3.bed,DLX6_hg38_c3.bed,0.026763,0.038410
BRCA1_hg38_c3.bed,DMAP1_hg38_c3.bed,0.143058,0.180619
CTCF_hg38_c3.bed,DMAP1_hg38_c3.bed,0.052185,0.073485
BRCA1_hg38_c3.bed,DNMT1_hg38_c3.bed,0.006469,0.008257
CTCF_hg38_c3.bed,DNMT1_hg38_c3.bed,0.001705,0.002396
BRCA1_hg38_c3.bed,DNMT3B_hg38_c3.bed,0.079748,0.108036
CTCF_hg38_c3.bed,DNMT3B_hg38_c3.bed,0.076048,0.095817
BRCA1_hg38_c3.bed,DPF1_hg38_c3.bed,0.033178,0.042561
CTCF_hg38_c3.bed,DPF1_hg38_c3.bed,0.008073,0.011483
BRCA1_hg38_c3.bed,DPF2_hg38_c3.bed,0.128372,0.154257
CTCF_hg38_c3.bed,DPF2_hg38_c3.bed,0.122589,0.165977
BRCA1_hg38_c3.bed,DR1_hg38_c3.bed,0.089518,0.118620
CTCF_hg38_c3.bed,DR1_hg38_c3.bed,0.010541,0.016180
BRCA1_hg38_c3.bed,DRAP1_hg38_c3.bed,0.149070,0.183011
CTCF_hg38_c3.bed,DRAP1_hg38_c3.bed,0.081468,0.112559
BRCA1_hg38_c3.bed,DUX4_hg38_c3.bed,0.008661,0.010783
CTCF_hg38_c3.bed,DUX4_hg38_c3.bed,0.013199,0.015109
BRCA1_hg38_c3.bed,E2F1_hg38_c3.bed,0.166807,0.202199
CTCF_hg38_c3.bed,E2F1_hg38_c3.bed,0.120087,0.161489
BRCA1_hg38_c3.bed,E2F3_hg38_c3.bed,0.102598,0.129876
CTCF_hg38_c3.bed,E2F3_hg38_c3.bed,0.015939,0.023076
BRCA1_hg38_c3.bed,E2F4_hg38_c3.bed,0.200401,0.243901
CTCF_hg38_c3.bed,E2F4_hg38_c3.bed,0.062012,0.085184
BRCA1_hg38_c3.bed,E2F5_hg38_c3.bed,0.020846,0.026647
CTCF_hg38_c3.bed,E2F5_hg38_c3.bed,0.004369,0.006477
BRCA1_hg38_c3.bed,E2F6_hg38_c3.bed,0.155985,0.193395
CTCF_hg38_c3.bed,E2F6_hg38_c3.bed,0.097798,0.127980
BRCA1_hg38_c3.bed,E2F7_hg38_c3.bed,0.091223,0.112649
CTCF_hg38_c3.bed,E2F7_hg38_c3.bed,0.021436,0.030068
BRCA1_hg38_c3.bed,E2F8_hg38_c3.bed,0.107242,0.139327
CTCF_hg38_c3.bed,E2F8_hg38_c3.bed,0.040305,0.056952
BRCA1_hg38_c3.bed,E4F1_hg38_c3.bed,0.118116,0.152487
CTCF_hg38_c3.bed,E4F1_hg38_c3.bed,0.053945,0.076124
BRCA1_hg38_c3.bed,EBF1_hg38_c3.bed,0.099264,0.130672
CTCF_hg38_c3.bed,EBF1_hg38_c3.bed,0.091459,0.121552
BRCA1_hg38_c3.bed,EBF3_hg38_c3.bed,0.083592,0.110346
CTCF_hg38_c3.bed,EBF3_hg38_c3.bed,0.030305,0.043033
BRCA1_hg38_c3.bed,EED_hg38_c3.bed,0.071062,0.098691
CTCF_hg38_c3.bed,EED_hg38_c3.bed,0.058411,0.075695
BRCA1_hg38_c3.bed,EGR1_hg38_c3.bed,0.114904,0.143455
CTCF_hg38_c3.bed,EGR1_hg38_c3.bed,0.150480,0.196764
BRCA1_hg38_c3.bed,EHF_hg38_c3.bed,0.139956,0.178297
CTCF_hg38_c3.bed,EHF_hg38_c3.bed,0.046325,0.066242
BRCA1_hg38_c3.bed,EHMT2_hg38_c3.bed,0.123717,0.155477
CTCF_hg38_c3.bed,EHMT2_hg38_c3.bed,0.046916,0.065348
BRCA1_hg38_c3.bed,ELF1_hg38_c3.bed,0.116996,0.144200
CTCF_hg38_c3.bed,ELF1_hg38_c3.bed,0.161075,0.209789
BRCA1_hg38_c3.bed,ELF2_hg38_c3.bed,0.003408,0.004733
CTCF_hg38_c3.bed,ELF2_hg38_c3.bed,0.000325,0.000539
BRCA1_hg38_c3.bed,ELF3_hg38_c3.bed,0.106720,0.138736
CTCF_hg38_c3.bed,ELF3_hg38_c3.bed,0.066932,0.093496
BRCA1_hg38_c3.bed,ELF4_hg38_c3.bed,0.100651,0.133419
CTCF_hg38_c3.bed,ELF4_hg38_c3.bed,0.020087,0.030002
BRCA1_hg38_c3.bed,ELF5_hg38_c3.bed,0.002808,0.003872
CTCF_hg38_c3.bed,ELF5_hg38_c3.bed,0.000394,0.000618
BRCA1_hg38_c3.bed,ELK1_hg38_c3.bed,0.121522,0.156574
CTCF_hg38_c3.bed,ELK1_hg38_c3.bed,0.016925,0.025375
BRCA1_hg38_c3.bed,ELK4_hg38_c3.bed,0.097365,0.128919
CTCF_hg38_c3.bed,ELK4_hg38_c3.bed,0.011299,0.017427
BRCA1_hg38_c3.bed,ELL2_hg38_c3.bed,0.211046,0.255526
CTCF_hg38_c3.bed,ELL2_hg38_c3.bed,0.076085,0.106060
BRCA1_hg38_c3.bed,ELL_hg38_c3.bed,0.210767,0.255207
CTCF_hg38_c3.bed,ELL_hg38_c3.bed,0.076285,0.106285
BRCA1_hg38_c3.bed,EOMES_hg38_c3.bed,0.016009,0.020896
CTCF_hg38_c3.bed,EOMES_hg38_c3.bed,0.019750,0.025121
BRCA1_hg38_c3.bed,EP300_hg38_c3.bed,0.082096,0.102132
